seller_id,username,name,job_title,location,skills,base_price,average_gig_price,total_sales,order_completion_rate,seller_level,years_of_experience,response_time,profile_url
a56699c8-c167-4254-96ef-584c15fdc50c,munozmisty,Cristina Mann,Fitness Trainer,"Melissachester, United Kingdom","Lifestyle, Music & Audio",79.04,206.23,233,93.03,Level Two Seller,6,5 hours,https://www.fiverr.com/munozmisty
5313fa62-5aab-4430-8cbf-dca1a8e83b77,areyes,Jennifer Hernandez,Data Analyst,"Port Paigetown, Nigeria","Programming & Tech, Lifestyle",88.83,186.22,617,92.12,New Seller,8,11 hours,https://www.fiverr.com/areyes
01309c24-b339-470c-996e-9fc543bc55db,savila,Christina Cline,Illustrator,"Kathleenchester, Pakistan",Graphic Design,20.54,86.52,259,94.69,Level Two Seller,8,6 hours,https://www.fiverr.com/savila
6b68f5c8-968f-4207-80cf-b113dc4a44f7,bsantos,Ariana Scott,Video Editor,"Donnahaven, Nigeria",Video & Animation,65.42,191.89,914,90.52,New Seller,4,4 hours,https://www.fiverr.com/bsantos
5c1cccd4-3c40-4877-a38a-86f5cdf09829,barrjuan,Brian Coleman,Life Coach,"New Stanleyton, India",Lifestyle,15.68,34.56,453,95.21,Level One Seller,2,1 hours,https://www.fiverr.com/barrjuan
3c3a4cba-635d-4c98-96ee-798b13706968,dwilliams,Alan Lee,Business Consultant,"Mooreburgh, United Kingdom","Business, Digital Marketing",86.34,118.71,507,96.86,New Seller,3,6 hours,https://www.fiverr.com/dwilliams
4e96bbee-bbf6-419e-9451-63d9a55459f6,jpatel,Micheal Munoz,Translator,"East Melissaport, Pakistan","Writing & Translation, Digital Marketing",88.95,119.41,849,96.18,Top Rated Seller,6,5 hours,https://www.fiverr.com/jpatel
75a07a0c-8c94-431c-b80c-1c0d6939f3f2,samanthamorris,Robert Smith,Motion Graphics Designer,"East Joshua, Nigeria","Video & Animation, Programming & Tech",97.14,182.4,118,90.4,Top Rated Seller,1,16 hours,https://www.fiverr.com/samanthamorris
a6508213-8671-4c1e-b31f-0c85db791d98,pittsmarc,Sandra Bullock,Copywriter,"North Raymondborough, United Kingdom","Writing & Translation, Video & Animation",11.96,111.1,24,96.91,New Seller,5,10 hours,https://www.fiverr.com/pittsmarc
44523525-e1dd-4120-91d3-b755ada8a4d8,tonimorgan,Alexandra Dean,Financial Analyst,"South Thomasstad, United Kingdom","Business, Music & Audio",83.96,91.37,937,96.85,New Seller,9,15 hours,https://www.fiverr.com/tonimorgan
4f906714-12ff-4116-bc09-80c421455379,ryanjones,Wayne Brown,Logo Designer,"South Gregory, Pakistan",Graphic Design,64.34,182.13,800,99.09,Level Two Seller,2,19 hours,https://www.fiverr.com/ryanjones
04540dd5-0337-424e-ba76-5b3b6930ae8f,cruzjoseph,Kelly Wolf,Market Researcher,"Scottport, Nigeria",Business,34.94,175.54,493,90.5,Top Rated Seller,8,19 hours,https://www.fiverr.com/cruzjoseph
08a6a8d0-39dc-450b-8258-39ea69214385,danielmorrow,Gina Browning,Fitness Trainer,"West Michael, United States","Lifestyle, Writing & Translation",35.22,110.81,493,94.14,Level One Seller,9,7 hours,https://www.fiverr.com/danielmorrow
5dd73562-34fd-41c7-919e-9685f07f7f13,jason72,Carmen Stafford,App Developer,"New Ronnieburgh, United States","Programming & Tech, Digital Marketing",49.93,76.12,99,96.4,Top Rated Seller,8,17 hours,https://www.fiverr.com/jason72
6cc84510-d7ad-4362-b02e-b17998d21f03,sesparza,Linda Avery,SEO Specialist,"Lake Brianville, United States",Digital Marketing,30.29,147.71,133,96.75,New Seller,5,11 hours,https://www.fiverr.com/sesparza
504ade86-db4b-4f74-8334-1b6f9150c9cd,yzimmerman,Susan Barnett,Illustrator,"Kellerstad, Nigeria",Graphic Design,8.09,18.3,223,97.31,Top Rated Seller,5,24 hours,https://www.fiverr.com/yzimmerman
c9e80916-292c-40ba-899f-b40f0d2d3fbf,gfischer,John Edwards,Video Editor,"Lake Anthony, India",Video & Animation,52.5,123.53,692,97.89,Level One Seller,9,4 hours,https://www.fiverr.com/gfischer
3e6b3f8e-8e54-484c-99d4-ea6e3f2e69f3,johnsonterri,Joshua Mason,Audio Engineer,"Jonesstad, United States",Music & Audio,24.83,118.47,701,91.33,New Seller,10,18 hours,https://www.fiverr.com/johnsonterri
8be9f710-e797-4e78-b44e-05fcb6d22e4e,garciajason,Walter Myers,Web Developer,"West Brittanyborough, Nigeria",Programming & Tech,62.23,114.27,81,94.39,Top Rated Seller,3,7 hours,https://www.fiverr.com/garciajason
6e6b2efe-d6d7-4f9c-aec8-a80d76f2be7e,henry94,Jonathan Mullins,Audio Engineer,"North Jason, United Kingdom",Music & Audio,81.43,158.42,170,91.93,Level Two Seller,8,15 hours,https://www.fiverr.com/henry94
3d1505cc-cdb7-4f45-9618-ef65486fdc9c,cheryljohnson,Eric Ramos,Motion Graphics Designer,"Kimberlyberg, Pakistan","Video & Animation, Writing & Translation",75.01,208.15,320,91.02,Level Two Seller,2,8 hours,https://www.fiverr.com/cheryljohnson
91ffe2a1-5248-449d-becb-8a88f36f66d9,johnsonmichael,Haley Dean,Copywriter,"New Daniellefort, United Kingdom","Writing & Translation, Programming & Tech",14.45,118.99,55,96.54,New Seller,7,16 hours,https://www.fiverr.com/johnsonmichael
ab19cf13-1968-4518-b39f-d8377b4fceb6,hensoncharles,Chris Jackson,App Developer,"Jamesville, United States",Programming & Tech,15.07,92.73,983,93.16,New Seller,5,23 hours,https://www.fiverr.com/hensoncharles
aa63da98-b744-4b6c-842f-dcec6c25a262,kimberly78,Lori Franco,Animator,"New Amy, Pakistan",Video & Animation,27.21,141.34,444,97.83,Level One Seller,10,1 hours,https://www.fiverr.com/kimberly78
b665952d-fd73-4469-8419-6cb627598ade,kevinpace,Rachel Mcneil,Content Strategist,"Janetbury, United States","Digital Marketing, Business",79.54,189.05,582,95.71,New Seller,7,2 hours,https://www.fiverr.com/kevinpace
db57b10b-b4d4-4093-b298-97410d9b2aab,ksmith,Kelly Smith,Brand Identity Designer,"North Jessica, Nigeria","Graphic Design, Digital Marketing",84.51,205.53,562,96.17,Level One Seller,3,11 hours,https://www.fiverr.com/ksmith
e34254d9-6424-4624-8dc4-3cc96e6e1f21,cynthia53,Derrick Mitchell,Fitness Trainer,"North Cheryl, Nigeria",Lifestyle,25.93,66.65,654,91.28,New Seller,1,5 hours,https://www.fiverr.com/cynthia53
8c46330b-4a20-4e1e-b384-5736af19c17f,jennifer44,Christopher Andrews,Translator,"West Kenneth, India","Writing & Translation, Business",46.72,194.48,762,90.66,Level Two Seller,1,19 hours,https://www.fiverr.com/jennifer44
c77bf131-1783-4d3f-bab6-cc869f1418b5,emmawhite,Alexandra Collins,Motion Graphics Designer,"West Shane, Nigeria",Video & Animation,40.58,131.8,318,97.96,New Seller,10,13 hours,https://www.fiverr.com/emmawhite
d18d62c2-e663-47db-b28f-79840dee14a4,john41,Robin Velez,SEO Specialist,"East Alisonfurt, United Kingdom","Digital Marketing, Programming & Tech",81.91,207.0,492,93.48,Level Two Seller,3,1 hours,https://www.fiverr.com/john41
674e1edb-d115-41dd-af40-917d59b23895,lorraineerickson,Christopher Long,Web Developer,"New Jeffrey, Nigeria",Programming & Tech,57.09,73.37,920,98.56,New Seller,9,1 hours,https://www.fiverr.com/lorraineerickson
3ee45410-6c5b-45d0-bc08-497b84cd57a6,frankwilson,Allison Lang,Financial Analyst,"South Morganside, United Kingdom",Business,9.11,139.32,212,92.51,New Seller,9,17 hours,https://www.fiverr.com/frankwilson
14482845-6b3b-4de9-b10f-dccb669c0e85,pamelarowe,Claudia Lee,Motion Graphics Designer,"Lake Joseph, United Kingdom",Video & Animation,38.4,166.6,635,92.35,Top Rated Seller,8,7 hours,https://www.fiverr.com/pamelarowe
fc2ac901-d47a-4ba4-aaa5-f42e365db8b5,nelsontravis,Craig Davis,Market Researcher,"Lake Johnbury, United States",Business,79.89,90.1,239,93.39,Top Rated Seller,4,8 hours,https://www.fiverr.com/nelsontravis
aa05d2ec-061b-4718-bc9c-fb9223369ad4,barnesdonald,Ryan Lee,Copywriter,"New Raymondview, United Kingdom",Writing & Translation,37.42,49.04,19,92.69,Level One Seller,7,11 hours,https://www.fiverr.com/barnesdonald
053941b3-7ec5-4527-a286-7445a63324f7,jeffreycamacho,Matthew Griffin,Life Coach,"Timothystad, United States",Lifestyle,19.0,114.59,119,99.86,Level Two Seller,5,6 hours,https://www.fiverr.com/jeffreycamacho
47425c5a-0cf6-45e1-995b-f2e40c34ffef,oharris,Jasmine Garcia,Voice Over Artist,"West Shelbyberg, Pakistan","Music & Audio, Video & Animation",84.09,214.7,94,97.94,Top Rated Seller,3,5 hours,https://www.fiverr.com/oharris
01344bf7-3e09-435b-b4cd-c3ff0d7ace19,sellersstephanie,Jeremy Chan,Illustrator,"New Cathy, Nigeria","Graphic Design, Lifestyle",39.72,112.85,171,90.5,Top Rated Seller,10,18 hours,https://www.fiverr.com/sellersstephanie
c1fb5cd1-fe73-431a-aa57-c6f32a07b3d8,stephanie26,Matthew Holloway,Motion Graphics Designer,"Andrewmouth, Pakistan","Video & Animation, Business",71.61,176.52,179,95.56,Top Rated Seller,7,10 hours,https://www.fiverr.com/stephanie26
ec307a2d-9697-43f1-b371-2b1a5f6f2a33,vasquezanthony,Joy Reed,App Developer,"New Christopherbury, United Kingdom",Programming & Tech,45.06,88.02,693,96.29,New Seller,9,6 hours,https://www.fiverr.com/vasquezanthony
f5f58237-5c55-4cf0-97a8-3fd8af8f74d5,tammy91,Aaron Peterson,App Developer,"Staceyhaven, Nigeria",Programming & Tech,30.55,80.16,879,92.76,New Seller,4,6 hours,https://www.fiverr.com/tammy91
126b8c5f-f923-4b85-8c7d-6515561abc3e,kayla24,Jonathan Zimmerman,Copywriter,"West Williamburgh, Nigeria",Writing & Translation,98.55,130.54,191,94.12,New Seller,3,6 hours,https://www.fiverr.com/kayla24
5c21aa9e-155a-401c-871d-f6d146e79c3a,suzanneyoung,Diana Hicks,Brand Identity Designer,"Sarabury, Nigeria",Graphic Design,40.56,70.51,822,92.3,Level Two Seller,8,12 hours,https://www.fiverr.com/suzanneyoung
60c7c5a6-8fa2-4233-ac78-7ae92955f761,bryanblackburn,Gail Johnson,Life Coach,"Kaufmanbury, Pakistan","Lifestyle, Graphic Design",16.7,163.35,975,98.31,Level Two Seller,7,8 hours,https://www.fiverr.com/bryanblackburn
49dd98b5-7a5b-4a60-8cdd-40bccd54d8e0,michael82,Stephanie Stevenson,SEO Specialist,"East Christophershire, United States",Digital Marketing,74.92,157.56,620,93.2,Level One Seller,10,23 hours,https://www.fiverr.com/michael82
f80ebdab-0b09-436f-9194-1b5e06561bec,justin42,Daniel Lynch,SEO Specialist,"North Edwin, India",Digital Marketing,62.86,134.18,25,93.43,Level Two Seller,6,16 hours,https://www.fiverr.com/justin42
5df6ab6c-1d66-4461-ae0c-e1a93b957c97,robertslisa,Sherry Peters,Brand Identity Designer,"Phillipshire, India",Graphic Design,69.92,89.93,339,94.15,Top Rated Seller,10,10 hours,https://www.fiverr.com/robertslisa
4f04aa1a-4635-409a-a075-616958423f20,parkswilliam,Nicole Ortiz,Copywriter,"West Kiara, India",Writing & Translation,71.66,125.82,744,97.23,New Seller,8,15 hours,https://www.fiverr.com/parkswilliam
74b8a4a3-2b8b-4ad5-a9b6-6170f76fb4f5,scottsandoval,Mary Atkins,Web Developer,"Brettmouth, Nigeria",Programming & Tech,53.16,171.25,998,90.08,New Seller,6,18 hours,https://www.fiverr.com/scottsandoval
c0bb2a67-f3bd-444f-9984-66fbaaa877b1,nathaniel77,Robert Perry,Logo Designer,"Port Martha, Nigeria",Graphic Design,61.33,206.84,989,92.36,Top Rated Seller,7,14 hours,https://www.fiverr.com/nathaniel77
fd10b1d0-0d6d-4476-9289-3b70ff99f525,xphillips,Daniel King,Audio Engineer,"South Shawnhaven, India",Music & Audio,57.13,134.9,670,97.71,Level One Seller,9,18 hours,https://www.fiverr.com/xphillips
4d8cc7c3-0e1b-48a0-8899-2ea245e69c32,christianschroeder,James Gill,Motion Graphics Designer,"Lake Hollyville, Pakistan",Video & Animation,83.44,105.52,280,91.23,Level One Seller,6,10 hours,https://www.fiverr.com/christianschroeder
1e1bdb6c-f57c-4ddf-a572-2d22f53abc6f,wardfrancisco,Jack Kelly,Music Producer,"West Rogerside, Pakistan","Music & Audio, Programming & Tech",83.14,168.62,381,94.0,New Seller,5,1 hours,https://www.fiverr.com/wardfrancisco
a1eacfa0-6803-43b0-87de-c71b4d07548f,brian73,Logan Johnson,Animator,"South Michael, United Kingdom",Video & Animation,41.12,121.54,648,90.3,New Seller,8,24 hours,https://www.fiverr.com/brian73
91705da2-b2c2-4990-aab3-8aae6a08330a,goodmanjason,Stephanie Cabrera,Personal Shopper,"Alexisburgh, India",Lifestyle,55.38,179.22,108,99.98,Level Two Seller,6,11 hours,https://www.fiverr.com/goodmanjason
c5ba768c-9bcc-4697-aaf0-faee9b34ff6c,xcooley,Matthew Ingram,Video Editor,"Lake Jeanettemouth, Nigeria","Video & Animation, Music & Audio",48.15,96.6,436,92.31,Level Two Seller,2,16 hours,https://www.fiverr.com/xcooley
8d77267f-7881-4f6c-9d01-289f8017e638,raven00,Yvette Obrien,Video Editor,"Jeffreyton, United States","Video & Animation, Digital Marketing",31.48,117.28,997,91.64,Level One Seller,9,4 hours,https://www.fiverr.com/raven00
75e0ee11-6ee1-49a9-8b3d-9d8d1ad55cd1,markberry,Andrew Fitzgerald,Personal Shopper,"Paulton, India",Lifestyle,50.57,66.22,432,96.08,Level One Seller,3,22 hours,https://www.fiverr.com/markberry
bead3ac7-1a99-4acd-90bf-7964d86ee046,lori41,Brendan Jones,Business Consultant,"West Raymondfurt, India","Business, Video & Animation",9.29,78.42,801,92.81,Level Two Seller,1,5 hours,https://www.fiverr.com/lori41
f696ee8d-0c67-495e-949c-1504250743a9,daniel73,Scott Cardenas,Personal Shopper,"Port Cynthia, United States","Lifestyle, Programming & Tech",26.18,167.05,344,90.61,New Seller,9,14 hours,https://www.fiverr.com/daniel73
78fd1b7b-e522-4c9d-902c-dad862ee4a0a,sandra39,Brian Glenn,Animator,"Lake Andrewstad, United States",Video & Animation,69.44,146.59,430,92.01,Level Two Seller,9,8 hours,https://www.fiverr.com/sandra39
6f855a43-6e8c-4eeb-846e-b4599ad83ae9,susan71,Kristen Mercer,Fitness Trainer,"South Richard, Nigeria",Lifestyle,72.75,179.08,153,92.89,Level Two Seller,8,8 hours,https://www.fiverr.com/susan71
9d28b7b8-ae9f-4e6d-9660-427b7a065a70,hortonjulia,Dillon Diaz,Life Coach,"New Michaelberg, United States",Lifestyle,99.03,181.11,523,95.7,New Seller,1,13 hours,https://www.fiverr.com/hortonjulia
296a73b6-01ce-4815-a7f5-4eac2567fcff,tnguyen,Andrea Kelley,Copywriter,"New James, United Kingdom",Writing & Translation,84.77,142.44,948,94.25,New Seller,2,23 hours,https://www.fiverr.com/tnguyen
67f86ae7-cc3b-445c-a9b1-8e751a194368,steelekathy,Lisa Macdonald,Fitness Trainer,"South Lisa, Pakistan","Lifestyle, Graphic Design",67.29,110.54,595,99.7,New Seller,10,24 hours,https://www.fiverr.com/steelekathy
7fe223b8-497b-497d-b567-a890cd7d8cc2,meyerschad,Heather Smith,Social Media Manager,"Lake Jamie, India",Digital Marketing,80.92,104.2,627,90.19,Top Rated Seller,5,17 hours,https://www.fiverr.com/meyerschad
714872ce-fa6c-4a2c-86ee-b9bc01f8c0a0,rioskevin,Amanda Rosales,App Developer,"Reedstad, India","Programming & Tech, Video & Animation",67.36,180.9,253,90.85,New Seller,8,7 hours,https://www.fiverr.com/rioskevin
7ddd6238-ca70-4806-a3cc-8cd56ffb52d6,keith60,Joseph Santana,Animator,"Jennatown, India","Video & Animation, Programming & Tech",53.72,152.06,739,93.58,Level One Seller,8,23 hours,https://www.fiverr.com/keith60
4564ce29-d791-4e58-bd14-746ef8559852,ashleyalvarez,Tyler Brady,App Developer,"Lake Michael, India",Programming & Tech,16.22,140.62,439,93.74,Level Two Seller,3,6 hours,https://www.fiverr.com/ashleyalvarez
7c64d830-31f9-4800-a573-73633f41b13d,qwalker,Barbara Morrison,Voice Over Artist,"Aaronfort, Pakistan","Music & Audio, Digital Marketing",10.86,136.2,999,93.44,New Seller,4,15 hours,https://www.fiverr.com/qwalker
762a0144-a941-4e66-8289-2dd718c7d0f2,kleinchristina,Michael Lowery,Market Researcher,"New Gloria, United States","Business, Digital Marketing",99.1,118.36,166,98.09,New Seller,7,11 hours,https://www.fiverr.com/kleinchristina
cae5c7ae-8025-4b33-8e25-c70ff5304474,monroepatty,Frank Joyce,Data Analyst,"West Terri, Pakistan",Programming & Tech,46.62,176.62,573,92.43,Level Two Seller,8,9 hours,https://www.fiverr.com/monroepatty
60c3485e-983f-49a1-b5a5-ed03888f8f16,wangadam,Betty Davis,Illustrator,"South Davidfurt, India","Graphic Design, Music & Audio",38.83,110.09,108,94.04,New Seller,2,18 hours,https://www.fiverr.com/wangadam
